,id,timestamp,pmv,ppd,co2,pm25,pm10,temp,hr,voc,co,no2,c2h5ch,idnodo,temp(K),pm25-clasificacion,disconformidad-19%,disconformidad-20%,disconformidad-21%,disconformidad-22%,disconformidad-19%,disconformidad-20%,disconformidad-21%,disconformidad-22%
0,3909814,2022-04-28 15:40:00,0.88,21.0,1.0,0.0,-1.0,27.3,50.0,0.9069767441860465,0.02736842105263158,0.5339805825242718,0.9903846153846154,fdba37,300.45,Bajo,0,0,1,0,0,0,1,0
1,3909794,2022-04-28 15:38:00,0.88,21.0,1.0,0.0,,27.3,49.0,0.9302325581395349,0.028421052631578948,0.5533980582524272,1.0,fdba37,300.45,Bajo,0,0,1,0,0,0,1,0
2,3909774,2022-04-28 15:37:00,0.88,21.0,1.0,,4.3,27.3,49.6,0.9302325581395349,0.027543859649122808,0.5436893203883495,1.0,fdba37,300.45,,0,0,1,0,0,0,1,0
3,3909754,2022-04-28 15:36:00,0.88,21.0,,2.4,3.0,,49.6,0.9302325581395349,0.027543859649122808,0.5339805825242718,1.0,fdba37,,Bajo,0,0,1,0,0,0,1,0
4,3909734,2022-04-28 15:35:00,,,1.0,2.6,3.7,27.3,49.4,0.9302325581395349,0.02736842105263158,0.5436893203883495,1.0,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0
5,3909714,2022-04-28 15:34:00,0.88,21.0,1.0,,4.1,27.3,49.5,0.9302325581395349,,0.5436893203883495,1.0,fdba37,300.45,,0,0,1,0,0,0,1,0
6,3909694,2022-04-28 15:33:00,0.88,21.0,1.0,2.7,3.6,,,0.9302325581395349,0.02736842105263158,,0.9903846153846154,fdba37,,Bajo,0,0,1,0,0,0,1,0
7,3909674,2022-04-28 15:32:00,,21.0,1.0,0.0,,27.3,49.8,,0.027719298245614036,0.5339805825242718,0.9903846153846154,fdba37,300.45,Bajo,0,0,1,0,0,0,1,0
8,3909654,2022-04-28 15:31:00,0.88,21.0,1.0,,4.0,27.3,49.8,0.9302325581395349,0.028070175438596492,0.5339805825242718,1.0,fdba37,300.45,,0,0,1,0,0,0,1,0
9,3909634,2022-04-28 15:30:00,0.88,21.0,1.0,2.9,5.2,27.3,,0.9302325581395349,0.027894736842105264,0.5339805825242718,0.9903846153846154,fdba37,300.45,Bajo,0,0,1,0,0,0,1,0
10,3909614,2022-04-28 15:29:00,0.88,21.0,1.0,,6.8,27.3,49.8,0.9302325581395349,0.027894736842105264,,1.0,fdba37,300.45,,0,0,1,0,0,0,1,0
11,3909594,2022-04-28 15:28:00,0.88,21.0,1.0,3.2,,27.3,49.8,0.9302325581395349,0.028070175438596492,0.5242718446601942,0.9903846153846154,fdba37,300.45,Bajo,0,0,1,0,0,0,1,0
12,3909574,2022-04-28 15:27:00,0.88,21.0,,3.9,6.8,27.3,49.9,,,0.5339805825242718,0.9903846153846154,fdba37,300.45,Mediano,0,0,1,0,0,0,1,0
13,3909554,2022-04-28 15:26:00,0.88,21.0,,3.8,9.1,,49.8,0.9302325581395349,0.028421052631578948,,0.9903846153846154,fdba37,,Mediano,0,0,1,0,0,0,1,0
14,3909534,2022-04-28 15:25:00,,,1.0,3.9,6.6,27.3,49.7,0.9534883720930233,,0.5436893203883495,0.9903846153846154,fdba37,300.45,Mediano,0,0,0,0,0,0,0,0
15,3909514,2022-04-28 15:24:00,0.88,21.0,1.0,3.4,6.0,27.3,49.9,0.9302325581395349,0.027543859649122808,0.5533980582524272,0.9903846153846154,fdba37,300.45,Mediano,0,0,1,0,0,0,1,0
16,3909494,2022-04-28 15:23:00,0.88,21.0,1.0,,6.9,27.3,49.9,0.9534883720930233,0.027719298245614036,0.5533980582524272,1.0,fdba37,300.45,,0,0,1,0,0,0,1,0
17,3909474,2022-04-28 15:22:00,0.88,21.0,1.0,3.9,7.7,27.3,49.8,0.9302325581395349,0.027719298245614036,0.5631067961165048,1.0,fdba37,300.45,Mediano,0,0,1,0,0,0,1,0
18,3909454,2022-04-28 15:21:00,0.88,21.0,1.0,3.5,5.3,27.3,49.9,,0.028070175438596492,0.5533980582524272,0.9903846153846154,fdba37,300.45,Mediano,0,0,1,0,0,0,1,0
19,3909434,2022-04-28 15:20:00,0.88,21.0,1.0,,,27.3,50.1,0.9302325581395349,0.02824561403508772,,0.9903846153846154,fdba37,300.45,,0,0,1,0,0,0,1,0
20,3909414,2022-04-28 15:19:00,0.88,21.0,1.0,2.8,4.6,27.3,49.7,0.9302325581395349,0.028596491228070172,0.5533980582524272,0.9903846153846154,fdba37,300.45,Bajo,0,0,1,0,0,0,1,0
21,3909394,2022-04-28 15:18:00,,,1.0,3.1,5.0,27.3,50.1,,0.027719298245614036,0.5631067961165048,0.9903846153846154,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0
22,3909374,2022-04-28 15:17:00,0.88,22.0,1.0,3.1,5.6,27.3,50.3,,0.02824561403508772,0.5339805825242718,0.9903846153846154,fdba37,300.45,Bajo,0,0,0,1,0,0,0,1
23,3909354,2022-04-28 15:16:00,0.88,22.0,1.0,,-1.0,27.3,,0.9302325581395349,0.028771929824561403,0.5242718446601942,0.9903846153846154,fdba37,300.45,,0,0,0,1,0,0,0,1
24,3909334,2022-04-28 15:14:00,0.89,22.0,1.0,0.0,-1.0,27.3,50.4,0.9302325581395349,0.028771929824561403,0.5242718446601942,1.0,fdba37,300.45,Bajo,0,0,0,1,0,0,0,1
25,3909314,2022-04-28 15:13:00,0.89,22.0,1.0,4.2,8.1,27.3,50.4,0.9302325581395349,0.02894736842105263,0.5242718446601942,0.9903846153846154,fdba37,300.45,Mediano,0,0,0,1,0,0,0,1
26,3909294,2022-04-28 15:12:00,0.89,22.0,1.0,3.0,5.9,27.3,50.4,0.9302325581395349,0.028771929824561403,0.5242718446601942,0.9903846153846154,fdba37,300.45,Bajo,0,0,0,1,0,0,0,1
27,3909274,2022-04-28 15:11:00,0.88,21.0,1.0,4.0,8.1,27.3,49.8,0.9302325581395349,0.02894736842105263,0.5339805825242718,0.9903846153846154,fdba37,300.45,Mediano,0,0,1,0,0,0,1,0
28,3909254,2022-04-28 15:10:00,0.89,22.0,1.0,4.2,8.2,27.3,50.4,0.9302325581395349,0.027894736842105264,0.5631067961165048,0.9903846153846154,fdba37,300.45,Mediano,0,0,0,1,0,0,0,1
29,3909234,2022-04-28 15:09:00,0.89,22.0,1.0,3.3,6.1,27.3,50.7,0.9302325581395349,0.028596491228070172,0.5631067961165048,1.0,fdba37,300.45,Bajo,0,0,0,1,0,0,0,1
30,3909214,2022-04-28 15:08:00,0.88,21.0,1.0,0.0,-1.0,,49.6,0.9302325581395349,0.028771929824561403,0.5339805825242718,1.0,fdba37,,Bajo,0,0,1,0,0,0,1,0
31,3909194,2022-04-28 15:07:00,,21.0,1.0,3.4,6.3,27.3,50.0,0.9302325581395349,0.027543859649122808,0.5533980582524272,0.9903846153846154,fdba37,300.45,Mediano,0,0,1,0,0,0,1,0
32,3909174,2022-04-28 15:06:00,0.85,20.0,1.0,3.6,6.3,27.2,50.4,0.9302325581395349,0.028070175438596492,0.5533980582524272,0.9903846153846154,fdba37,300.34999999999997,Mediano,0,1,0,0,0,1,0,0
33,3909154,2022-04-28 15:05:00,,20.0,1.0,3.6,7.4,27.2,,0.9302325581395349,0.029473684210526315,0.5339805825242718,0.9903846153846154,fdba37,300.34999999999997,Mediano,0,1,0,0,0,1,0,0
